Clear.Art,Ultim.Art,Clear.Friend,Ultim.Friend,Clear.Diamond,Ultim.Diamond,Clear.Raccoon,Ultim.Raccoon,Clear.Cousin,Ultim.Cousin,Clear.Cashier,Ultim.Cashier,Clear.Man,Ultim.Man,Clear.Woman,Ultim.Woman,Clear.Love,Ultim.Love,Clear.Orange,Ultim.Orange,Clear.Zebra,Ultim.Zebra,Clear.Chicken,Ultim.Chicken,Clear.Lion,Ultim.Lion,Clear.Gold,Ultim.Gold,Clear.Bluebird,Ultim.Bluebird,Clear.Sheep,Ultim.Sheep,Clear.Squirrel,Ultim.Squirrel,Clear.Rustling,Ultim.Rustling,Clear.Comedian,Ultim.Comedian,Clear.Obituary,Ultim.Obituary,Clear.Stroller,Ultim.Stroller,Clear.Uncle,Ultim.Uncle,Clear.Catalog,Ultim.Catalog,Clear.Chair,Ultim.Chair,Clear.Welder,Ultim.Welder,Clear.Firefighter,Ultim.Firefighter,Clear.Mentor,Ultim.Mentor,Clear.Argument,Ultim.Argument,Clear.Boyfriend,Ultim.Boyfriend,Clear.Criminal,Ultim.Criminal,Clear.Theory,Ultim.Theory,Clear.Minister,Ultim.Minister,Gender,Age,NativeEng,Political,Filter
Society would say that there's a sense in which Greg is an artist.,"Ultimately, when thinking about what it really means to be an artist, society would say that Greg is not truly an artist.",Society would say that there's a sense in which Charlotte is Susan‰Ûªs friend.,"Ultimately, when thinking about what it really means to be a friend, society would say that Charlotte is not truly Susan‰Ûªs friend.",Society would say that there's a sense in which the stone is a diamond.,"Ultimately, when thinking about what it really means to be a diamond, society would say that the stone is not truly a diamond.",Society would say that there's a sense in which the animals are raccoons.,"Ultimately, when thinking about what it really means to be a raccoon, society would say that the animals are not truly raccoons.",Society would say that there's a sense in which Harry and Janet are second cousins.,"Ultimately, when thinking about what it really means to be second cousins, society would say that Harry and Janet are not truly second cousins.",Society would say that there's a sense in which Kelly is a cashier.,"Ultimately, when thinking about what it really means to be a cashier, society would say that Kelly is not truly a cashier.",Society would say that there's a sense in which John is a man.,"Ultimately, when thinking about what it really means to be a man, society would say that John is not truly a man.",Society would say that there's a sense in which Linda is a woman.,"Ultimately, when thinking about what it really means to be a woman, society would say that Linda is not truly a woman.",Society would say that there's a sense in which Christie is in love.,"Ultimately, when thinking about what it really means to be in love, society would say that Christie is not truly in love.",Society would say that there's a sense in which the fruit on the original tree is an orange.,"Ultimately, when thinking about what it really means to be an orange, society would say that the fruit on the original tree is not truly an orange.",Society would say that there's a sense in which the animal in the zoo is a zebra.,"Ultimately, when thinking about what it really means to be a zebra, society would say that the animal in the zoo is not truly a zebra.",Society would say that there's a sense in which the animal is a chicken.,"Ultimately, when thinking about what it really means to be a chicken, society would say that the animal is not truly a chicken.",Society would say that there's a sense in which the animal is a lion.,"Ultimately, when thinking about what it really means to be a lion, society would say that the animal is not truly a lion.",Society would say that there's a sense in which the metal is gold.,"Ultimately, when thinking about what it really means to be gold, society would say that the metal is not truly gold.",Society would say that there's a sense in which the bird is a bluebird.,"Ultimately, when thinking about what it really means to be a bluebird, society would say that the bird is not truly a bluebird.",Society would say that there's a sense in which the animal is a sheep.,"Ultimately, when thinking about what it really means to be a sheep, society would say that the animal is not truly a sheep.",Society would say that there's a sense in which the animal is a squirrel.,"Ultimately, when thinking about what it really means to be a squirrel, society would say that the animal is not truly a squirrel.",Society would say that there's a sense in which the sound Kim heard is a rustling sound.,"Ultimately, when thinking about what it really means to be a rustling sound, society would say that the sound Kim heard is not truly a rustling sound.",Society would say that there's a sense in which Janet is a comedian.,"Ultimately, when thinking about what it really means to be a comedian, society would say that Janet is not truly a comedian.",Society would say there's a sense in which this notice is an obituary.,"Ultimately, when thinking about what it really means to be an obituary, society would say that this notice is not truly an obituary.",Society would say there's a sense in which this device is a stroller.,"Ultimately, when thinking about what it really means to be a stroller, society would say that this device is not truly a stroller.",Society would say that there's a sense in which James is an uncle.,"Ultimately, when thinking about what it really means to be an uncle, society would say that James is not truly an uncle.",Society would say that there's a sense in which this pamphlet is a catalog.,"Ultimately, when thinking about what it really means to be a catalog, society would say that this pamphlet is not truly a catalog.",Society would say that there's a sense in which this piece of furniture is a chair.,"Ultimately, when thinking about what it really means to be a chair, society would say that this piece of furniture is not truly a chair.",Society would say that there's a sense in which Patrick is a welder.,"Ultimately, when thinking about what it really means to be a welder, society would say that Patrick is not truly a welder.",Society would say that there's a sense in which Jeff is a firefighter.,"Ultimately, when thinking about what it really means to be a firefighter, society would say that Jeff is not truly a firefighter.",Society would say that there's a sense in which Jack is a mentor.,"Ultimately, when thinking about what it really means to be a mentor, society would say that Jack is not truly a mentor.",Society would say that there's a sense in which the Prospective Ulteriority Defense is an argument.,"Ultimately, when thinking about what it really means to be an argument, society would say that the Prospective Ulteriority Defense is not truly an argument.",Society would say that there's a sense in which Luke is a boyfriend.,"Ultimately, when thinking about what it really means to be a boyfriend, society would say that Luke is not truly a boyfriend.",Society would say that there's a sense in which Fred is a criminal.,"Ultimately, when thinking about what it really means to be a criminal, society would say that Fred is not truly a criminal.",Society would say that there's a sense in which these equations are a theory.,"Ultimately, when thinking about what it really means to be a theory, society would say that these equations are not truly a theory.",Society would say that there's a sense in which Sam is a minister.,"Ultimately, when thinking about what it really means to be a minister, society would say that Sam is not truly a minister.",Please tell us your gender,Please tell us your age,Is English your native language?,How would you describe your political views?,The current study asked about
3,4,4,5,2,6,3,2,4,6,3,5,2,6,3,5,3,7,3,6,3,4,2,6,4,5,3,4,4,4,3,6,5,7,3,5,4,5,3,6,4,5,4,7,3,6,4,6,4,4,3,5,3,3,4,4,4,6,5,2,3,5,2,7,1,27,1,2,1
2,5,4,2,6,5,3,2,3,2,6,3,1,6,4,3,4,5,7,1,4,2,1,6,2,4,1,2,2,4,3,2,5,2,2,7,4,3,5,5,3,6,1,7,2,2,1,4,6,4,5,2,3,6,5,3,3,4,1,7,2,3,2,4,2,27,1,1,1
3,6,4,5,4,5,3,6,3,6,5,7,7,1,3,6,3,5,3,6,3,7,3,7,3,7,3,6,5,6,3,6,2,7,3,5,3,6,5,6,3,5,3,6,3,5,3,6,5,6,3,5,3,5,3,6,3,6,3,6,3,6,3,6,2,35,1,1,1
7,1,1,7,1,7,1,7,7,1,7,1,7,1,7,1,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,7,1,7,1,7,1,7,1,7,1,7,1,1,7,7,1,7,1,7,1,1,7,1,7,7,1,7,1,7,1,7,1,1,28,1,2,1
6,3,3,6,1,7,5,1,5,2,5,1,3,6,3,2,1,7,4,5,3,4,4,6,2,7,5,4,2,6,2,4,7,1,7,1,4,2,7,2,5,2,7,7,6,2,4,6,3,2,1,7,3,5,6,4,5,1,1,7,5,1,6,2,1,24,1,2,1
7,1,7,1,7,1,4,2,6,2,7,1,7,1,7,1,5,4,6,2,7,1,1,7,6,2,6,1,6,4,1,5,6,4,6,3,6,1,7,1,7,1,7,1,7,1,7,1,6,2,5,3,6,1,7,1,6,2,7,1,6,2,6,3,2,26,1,1,2
5,7,3,7,4,7,5,3,7,1,7,3,7,7,7,1,1,7,1,7,7,1,1,7,7,1,1,7,1,7,7,1,1,7,7,1,7,4,7,1,7,1,4,7,1,7,4,2,1,7,5,3,1,7,1,7,7,1,7,1,7,1,7,7,1,38,1,2,1
7,6,5,7,1,7,5,7,7,2,7,3,4,4,7,2,6,1,1,6,2,7,1,7,3,7,1,7,1,7,7,6,1,7,7,2,7,7,7,2,7,1,6,7,7,5,7,1,7,5,7,6,5,7,6,7,7,3,7,3,3,7,5,7,1,43,1,2,1
4,4,5,3,1,7,1,7,7,1,6,2,7,1,7,1,5,3,3,5,1,7,2,6,1,7,1,7,1,7,4,4,1,7,6,2,3,5,2,6,3,5,5,3,2,6,3,5,3,5,4,4,2,6,2,6,4,4,7,1,1,7,3,5,2,28,1,2,1
6,2,6,7,3,7,2,7,6,2,6,2,7,1,2,1,5,4,5,7,3,7,5,7,6,7,3,7,5,7,2,6,5,7,6,2,7,1,5,4,6,2,7,1,6,3,6,2,2,7,6,2,5,3,5,4,6,2,6,2,6,2,6,5,2,25,1,2,1
4,5,2,6,1,7,1,7,7,1,7,1,7,1,7,1,7,1,1,7,3,6,1,7,1,7,1,7,1,7,1,7,1,7,7,1,1,7,7,1,3,5,7,1,5,3,7,1,6,2,6,3,1,7,1,7,4,4,4,5,1,7,1,7,1,23,1,2,1
7,3,5,7,4,7,1,7,7,1,7,1,7,5,7,2,2,7,1,7,1,7,1,7,2,7,1,7,1,7,2,7,1,7,7,1,5,7,4,7,7,1,7,4,5,3,7,2,3,6,7,2,5,7,1,7,4,7,7,5,7,3,3,7,1,22,1,2,1
6,7,6,6,5,7,6,7,6,2,7,1,6,7,6,7,5,7,2,6,5,7,5,7,7,1,6,7,5,7,6,7,5,7,7,1,5,6,6,7,6,4,6,6,5,3,5,7,5,7,3,5,5,6,5,7,5,6,6,1,5,3,5,4,2,49,1,1,1
5,7,5,5,4,5,5,4,5,6,5,6,5,6,4,5,5,5,4,5,5,5,5,4,6,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,6,5,4,5,4,5,5,4,5,5,5,4,5,5,5,5,6,5,5,5,5,2,25,1,2,1
4,7,1,7,1,7,1,7,7,1,7,1,7,1,7,1,1,7,1,7,1,7,1,7,1,7,1,7,1,7,4,2,1,7,7,1,1,7,6,2,7,1,7,1,1,7,1,7,5,3,3,5,1,7,1,7,5,3,7,1,1,7,1,7,1,30,1,1,1
5,2,3,2,3,5,2,3,3,5,3,2,3,6,5,3,2,4,2,4,2,5,3,2,4,6,3,5,2,4,4,6,2,5,6,5,3,6,5,4,1,2,5,2,3,5,2,5,5,6,3,2,5,6,2,6,3,2,3,6,2,4,2,6,2,30,1,1,1
5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,2,30,1,1,1
5,6,6,7,3,5,2,7,7,5,7,1,7,2,7,1,6,5,2,7,2,7,1,7,3,7,1,7,2,7,3,7,2,7,5,2,2,7,6,5,7,1,7,7,6,2,7,3,7,1,5,7,3,6,2,7,7,6,7,1,6,2,4,7,2,30,1,2,1
6,7,4,7,1,7,1,7,7,1,7,1,7,3,7,2,6,7,1,7,5,7,1,7,1,7,6,7,1,7,2,6,1,7,7,1,2,7,7,5,7,1,7,2,7,6,7,4,7,2,5,6,4,7,2,7,6,7,7,4,1,7,7,7,1,45,1,2,1
4,7,4,6,1,7,3,7,7,2,6,2,3,6,6,3,6,5,2,7,6,4,2,7,2,6,1,7,4,6,2,6,3,6,6,2,1,7,2,6,3,6,7,3,5,7,4,6,5,3,5,7,3,6,5,7,2,6,6,1,5,4,6,4,1,38,1,2,1
3,5,3,5,3,5,3,5,3,4,4,4,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,4,5,4,4,3,5,4,5,3,5,3,5,4,4,3,5,4,4,4,4,3,5,3,5,3,5,3,4,4,4,3,4,2,48,1,2,1
7,1,5,3,2,6,1,7,7,1,7,1,7,1,7,1,2,6,1,7,2,6,1,7,7,1,1,7,1,7,7,1,1,7,5,3,5,3,6,2,6,2,7,1,6,2,5,3,7,1,7,1,3,5,5,3,5,3,5,3,7,1,5,3,2,29,1,1,1
5,2,2,7,3,6,3,6,7,1,6,2,1,7,7,1,3,7,6,2,6,3,1,7,3,5,2,7,3,6,7,4,2,7,6,2,5,3,5,2,4,6,1,7,6,2,2,6,6,2,6,1,4,6,3,5,4,5,4,3,5,3,2,6,2,40,1,2,1
6,3,5,5,5,4,1,7,5,1,7,1,7,1,7,1,7,1,1,7,7,4,5,5,5,5,2,7,1,6,5,7,1,7,6,2,4,6,5,4,6,2,6,4,6,1,6,1,7,1,6,1,2,7,2,6,5,1,6,4,6,1,6,2,2,28,1,1,1
7,6,3,7,1,7,1,7,7,1,7,1,5,6,7,1,6,4,1,7,4,6,1,7,3,6,1,7,1,7,3,6,1,7,7,1,3,4,2,5,3,6,5,7,6,2,7,1,3,6,4,7,2,7,4,6,5,7,7,1,4,5,6,6,2,45,1,2,1
