Dominant,Emotionally Cold,Abusive,Dishonest,Promiscuous,Messy,Aggressive,Calculating,Rude,Vulgar,Disrespectful,Intimidating,Impatient,Easygoing,Traveling,Swimming,Smiling,Music,Reading,Movie,Environment,Curious,Kind,Abuse Spouse,Abuse Children,Cheating on Spouse,Not Wanting Children,Cursing and Swearing,Spendthrift on Cosmetics and Clothing,Wanting To Be Boss,Unresponsive To Children,Initiating Fights,Not Cleaning House,Not Caring about Appearance,Not Caring about Mannerism,Not Taking Action When Significant Others Threatened,Gender,Age,NativeEng,Group
1,2,1,1,1,2,2,2,3,2,2,2,3,1,1,4,1,4,1,1,4,1,1,,,,,,,,,,,,,,1,36,1,1
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,6,7,6,3,3,4,2,5,5,3,2,2,3,2,26,1,2
5,6,7,6,3,4,7,3,5,7,5,6,1,2,1,1,1,1,1,3,5,1,1,,,,,,,,,,,,,,2,27,1,1
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,7,7,6,1,1,2,1,7,7,1,6,3,5,1,32,2,2
2,5,5,3,3,5,3,2,6,7,7,6,4,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,2,29,1,1
4,4,7,7,7,4,4,1,7,7,7,4,4,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,2,39,1,1
2,4,6,4,3,3,3,1,3,3,3,2,1,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,48,1,1
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,6,7,6,2,5,7,1,7,5,2,1,4,6,1,50,1,2
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,7,7,6,2,2,6,1,2,5,1,2,4,7,1,25,1,2
1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,37,1,1
2,5,5,6,5,3,4,4,5,5,5,4,3,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,33,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,27,1,1
,,,,,,,,,,,,,4,1,1,4,2,4,3,5,2,4,7,6,7,2,5,4,7,4,4,7,4,4,4,2,22,1,2
,,,,,,,,,,,,,4,3,5,7,3,4,3,1,4,3,2,5,2,5,3,3,4,3,6,4,1,6,4,1,35,2,2
4,5,7,5,2,2,5,7,6,3,5,3,1,1,1,1,1,4,1,1,1,1,1,,,,,,,,,,,,,,2,58,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,23,1,1
,,,,,,,,,,,,,2,2,1,1,2,4,1,2,2,2,5,7,4,6,6,2,3,1,6,5,6,5,5,2,30,1,2
1,5,7,7,5,4,6,1,7,7,7,3,3,3,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,25,1,1
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,6,6,4,1,4,1,1,4,3,1,3,1,1,2,36,1,2
4,5,7,7,4,4,7,1,5,3,7,4,5,1,1,4,4,1,4,1,1,1,1,,,,,,,,,,,,,,1,23,1,1
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,6,6,5,1,1,2,1,4,1,1,1,1,2,1,23,1,2
1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,41,1,1
